Latitude (decimal degrees):	9.948
Longitude (decimal degrees):	76.569
Elevation (m):	50
Radiation database:	PVGIS-ERA5


Slope: 45 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20200624:0430,331.13,52.7,25.1,1.03,0.0
20200624:0530,336.46,65.47,27.0,1.1,0.0
20200624:0630,444.2,75.18,28.03,1.79,0.0
20200624:0730,421.29,74.26,28.92,1.52,0.0
20200624:0830,361.92,63.82,29.16,1.79,0.0
20200624:0930,238.89,50.88,26.75,1.45,0.0
20200624:1030,128.5,37.3,26.06,1.66,0.0
20200624:1130,78.9,23.55,25.04,0.62,0.0
20200624:1230,24.15,9.82,24.88,0.69,0.0
20200624:1330,0.0,-3.75,24.22,0.69,0.0
20200624:1430,0.0,0.0,24.07,1.1,0.0
20200624:1530,0.0,0.0,23.85,1.24,0.0
20200624:1630,0.0,0.0,23.65,1.1,0.0
20200624:1730,0.0,0.0,23.52,0.48,0.0
20200624:1830,0.0,0.0,23.36,0.55,0.0
20200624:1930,0.0,0.0,23.37,0.41,0.0
20200624:2030,0.0,0.0,23.41,0.41,0.0
20200624:2130,0.0,0.0,23.46,0.34,0.0
20200624:2230,0.0,0.0,23.89,0.21,0.0
20200624:2330,0.0,0.0,23.41,0.55,0.0
20200625:0030,0.0,-1.96,23.08,0.69,0.0
20200625:0130,42.27,11.64,22.95,0.41,0.0
20200625:0230,77.08,25.38,24.01,0.21,0.0
20200625:0330,170.59,39.12,24.16,0.48,0.0
20200625:0430,209.55,52.66,27.75,0.21,0.0
20200625:0530,294.54,65.44,25.87,0.34,0.0
20200625:0630,328.77,75.18,25.55,0.9,0.0
20200625:0730,428.55,74.31,26.61,1.52,0.0
20200625:0830,342.0,63.87,27.68,1.59,0.0
20200625:0930,149.9,50.93,26.39,1.24,0.0
20200625:1030,80.69,37.35,25.03,0.62,0.0
20200625:1130,83.09,23.6,24.63,0.41,0.0
20200625:1230,27.69,9.87,24.62,0.14,0.0
20200625:1330,0.0,-3.7,24.67,0.48,0.0
20200625:1430,0.0,0.0,24.01,0.97,0.0
20200625:1530,0.0,0.0,23.67,0.9,0.0
20200625:1630,0.0,0.0,23.45,0.83,0.0
20200625:1730,0.0,0.0,23.35,0.83,0.0
20200625:1830,0.0,0.0,23.34,0.62,0.0
20200625:1930,0.0,0.0,23.19,0.62,0.0
20200625:2030,0.0,0.0,23.03,0.62,0.0
20200625:2130,0.0,0.0,23.06,0.97,0.0
20200625:2230,0.0,0.0,22.94,0.76,0.0
20200625:2330,0.0,0.0,22.97,0.69,0.0
20200626:0030,0.0,-2.01,22.98,0.55,0.0
20200626:0130,24.27,11.59,23.0,0.69,0.0
20200626:0230,54.45,25.33,23.51,0.55,0.0
20200626:0330,108.72,39.08,23.59,0.55,0.0
20200626:0430,215.84,52.62,25.84,0.55,0.0
20200626:0530,401.03,65.41,25.16,0.34,0.0
20200626:0630,356.99,75.19,26.97,0.48,0.0
20200626:0730,396.97,74.36,26.63,1.03,0.0
20200626:0830,266.17,63.93,27.31,1.38,0.0
20200626:0930,271.77,50.98,26.88,1.52,0.0
20200626:1030,214.15,37.4,26.54,1.45,0.0
20200626:1130,92.77,23.65,26.18,1.03,0.0
20200626:1230,31.4,9.91,25.4,0.97,0.0
20200626:1330,0.0,-3.66,24.67,0.62,0.0
20200626:1430,0.0,0.0,24.18,0.97,0.0
20200626:1530,0.0,0.0,23.28,0.9,0.0
20200626:1630,0.0,0.0,23.13,0.83,0.0
20200626:1730,0.0,0.0,23.15,0.69,0.0
20200626:1830,0.0,0.0,23.19,0.76,0.0
20200626:1930,0.0,0.0,24.44,0.07,0.0
20200626:2030,0.0,0.0,23.89,0.28,0.0
20200626:2130,0.0,0.0,23.4,0.28,0.0
20200626:2230,0.0,0.0,22.85,0.62,0.0
20200626:2330,0.0,0.0,22.91,0.9,0.0
20200627:0030,0.0,-2.07,23.01,1.03,0.0
20200627:0130,17.91,11.54,22.9,0.97,0.0
20200627:0230,58.35,25.29,23.16,0.62,0.0
20200627:0330,112.32,39.04,23.57,0.21,0.0
20200627:0430,164.62,52.58,25.77,0.28,0.0
20200627:0530,152.58,65.39,24.79,0.34,0.0
20200627:0630,309.89,75.2,25.05,0.07,0.0
20200627:0730,319.28,74.41,25.94,0.69,0.0
20200627:0830,245.05,63.98,27.09,0.69,0.0
20200627:0930,242.07,51.03,27.37,1.1,0.0
20200627:1030,211.84,37.45,27.34,1.59,0.0
20200627:1130,114.79,23.69,27.15,1.59,0.0
20200627:1230,32.93,9.95,26.55,1.52,0.0
20200627:1330,0.0,-3.63,25.77,1.52,0.0
20200627:1430,0.0,0.0,25.16,1.24,0.0
20200627:1530,0.0,0.0,24.85,0.97,0.0
20200627:1630,0.0,0.0,24.78,0.34,0.0
20200627:1730,0.0,0.0,24.47,1.24,0.0
20200627:1830,0.0,0.0,23.75,1.17,0.0
20200627:1930,0.0,0.0,23.99,0.97,0.0
20200627:2030,0.0,0.0,23.84,0.69,0.0
20200627:2130,0.0,0.0,23.89,0.69,0.0
20200627:2230,0.0,0.0,23.52,0.83,0.0
20200627:2330,0.0,0.0,23.39,0.76,0.0
20200628:0030,0.0,-2.12,22.98,0.69,0.0
20200628:0130,19.8,11.49,22.9,0.55,0.0
20200628:0230,47.81,25.24,23.67,0.41,0.0
20200628:0330,65.72,38.99,23.49,0.21,0.0
20200628:0430,117.7,52.55,23.58,0.14,0.0
20200628:0530,230.03,65.37,23.82,0.83,0.0
20200628:0630,460.23,75.21,25.65,0.0,0.0
20200628:0730,377.45,74.48,28.85,2.14,0.0
20200628:0830,336.44,64.04,29.21,2.28,0.0
20200628:0930,223.42,51.09,27.62,2.14,0.0
20200628:1030,128.8,37.5,26.13,1.1,0.0
20200628:1130,88.04,23.74,25.66,0.97,0.0
20200628:1230,36.15,10.0,25.54,0.97,0.0
20200628:1330,0.0,-3.59,25.19,0.48,0.0
20200628:1430,0.0,0.0,24.88,0.69,0.0
20200628:1530,0.0,0.0,24.58,0.83,0.0
20200628:1630,0.0,0.0,24.51,1.03,0.0
20200628:1730,0.0,0.0,24.39,1.03,0.0
20200628:1830,0.0,0.0,24.35,1.24,0.0
20200628:1930,0.0,0.0,24.18,0.48,0.0
20200628:2030,0.0,0.0,24.15,0.55,0.0
20200628:2130,0.0,0.0,24.07,0.55,0.0
20200628:2230,0.0,0.0,24.44,0.21,0.0
20200628:2330,0.0,0.0,24.19,0.48,0.0
20200629:0030,0.0,-2.17,23.96,0.62,0.0
20200629:0130,29.14,11.44,23.94,0.41,0.0
20200629:0230,78.99,25.19,24.6,0.28,0.0
20200629:0330,125.37,38.95,24.63,0.34,0.0
20200629:0430,277.09,52.52,26.81,0.55,0.0
20200629:0530,309.93,65.35,26.28,0.83,0.0
20200629:0630,382.36,75.24,26.3,1.45,0.0
20200629:0730,151.0,74.54,26.5,2.34,0.0
20200629:0830,280.73,64.11,25.33,1.59,0.0
20200629:0930,181.77,51.15,26.03,1.38,0.0
20200629:1030,152.18,37.55,25.0,1.31,0.0
20200629:1130,97.27,23.78,25.1,0.62,0.0
20200629:1230,31.48,10.04,26.2,1.03,0.0
20200629:1330,0.0,-3.55,24.72,1.52,0.0
20200629:1430,0.0,0.0,23.83,1.1,0.0
20200629:1530,0.0,0.0,23.59,0.62,0.0
20200629:1630,0.0,0.0,23.59,0.55,0.0
20200629:1730,0.0,0.0,23.56,0.83,0.0
20200629:1830,0.0,0.0,23.5,0.9,0.0
20200629:1930,0.0,0.0,23.27,1.17,0.0
20200629:2030,0.0,0.0,23.12,1.17,0.0
20200629:2130,0.0,0.0,23.08,1.17,0.0
20200629:2230,0.0,0.0,23.22,0.97,0.0
20200629:2330,0.0,0.0,23.3,0.9,0.0
20200630:0030,0.0,-2.23,23.41,0.97,0.0
20200630:0130,32.08,11.39,23.55,0.9,0.0
20200630:0230,61.5,25.15,24.04,0.76,0.0
20200630:0330,155.71,38.92,24.52,0.76,0.0
20200630:0430,300.0,52.49,25.35,0.83,0.0
20200630:0530,404.1,65.34,26.82,1.1,0.0
20200630:0630,458.45,75.27,27.67,1.45,0.0
20200630:0730,430.57,74.61,28.83,1.86,0.0
20200630:0830,420.57,64.17,29.06,1.79,0.0
20200630:0930,356.45,51.2,28.71,1.93,0.0
20200630:1030,222.33,37.6,28.16,2.41,0.0
20200630:1130,109.08,23.83,27.73,2.0,0.0
20200630:1230,37.11,10.07,26.81,1.72,0.0
20200630:1330,0.0,-3.52,25.85,1.24,0.0
20200630:1430,0.0,0.0,25.37,1.03,0.0
20200630:1530,0.0,0.0,25.0,0.83,0.0
20200630:1630,0.0,0.0,24.59,0.97,0.0
20200630:1730,0.0,0.0,24.23,1.1,0.0
20200630:1830,0.0,0.0,24.13,0.97,0.0
20200630:1930,0.0,0.0,24.04,0.21,0.0
20200630:2030,0.0,0.0,23.95,0.14,0.0
20200630:2130,0.0,0.0,23.93,0.41,0.0
20200630:2230,0.0,0.0,23.87,0.41,0.0
20200630:2330,0.0,0.0,23.92,0.48,0.0
20200701:0030,0.0,-2.29,23.72,0.55,0.0
20200701:0130,33.05,11.34,23.62,0.48,0.0
20200701:0230,62.63,25.1,24.03,0.0,0.0
20200701:0330,156.87,38.88,24.76,0.07,0.0
20200701:0430,272.68,52.46,26.38,0.21,0.0
20200701:0530,347.95,65.33,26.53,0.69,0.0
20200701:0630,459.8,75.3,26.51,1.24,0.0
20200701:0730,388.76,74.69,27.47,1.03,0.0
20200701:0830,379.13,64.24,27.72,1.03,0.0
20200701:0930,260.54,51.26,27.9,1.31,0.0
20200701:1030,112.11,37.65,26.43,1.66,0.0
20200701:1130,94.62,23.87,25.71,1.24,0.0
20200701:1230,39.05,10.11,25.43,0.9,0.0
20200701:1330,0.0,-3.49,25.07,0.76,0.0
20200701:1430,0.0,0.0,24.81,0.83,0.0
20200701:1530,0.0,0.0,24.54,0.9,0.0
20200701:1630,0.0,0.0,24.41,0.9,0.0
20200701:1730,0.0,0.0,24.3,0.97,0.0
20200701:1830,0.0,0.0,24.09,1.17,0.0
20200701:1930,0.0,0.0,24.36,0.9,0.0
20200701:2030,0.0,0.0,24.31,0.97,0.0
20200701:2130,0.0,0.0,24.29,0.9,0.0
20200701:2230,0.0,0.0,24.29,0.9,0.0
20200701:2330,0.0,0.0,24.18,0.97,0.0
20200702:0030,0.0,-2.34,23.96,0.97,0.0
20200702:0130,37.6,11.29,23.83,1.17,0.0
20200702:0230,133.49,25.06,24.41,0.48,0.0
20200702:0330,239.52,38.84,25.28,0.83,0.0
20200702:0430,352.73,52.43,26.22,1.31,0.0
20200702:0530,407.25,65.33,27.38,1.66,0.0
20200702:0630,455.99,75.34,28.21,2.07,0.0
20200702:0730,466.99,74.77,28.41,1.86,0.0
20200702:0830,384.87,64.31,28.45,2.34,0.0
20200702:0930,215.92,51.32,26.09,2.21,0.0
20200702:1030,132.18,37.7,25.55,1.79,0.0
20200702:1130,69.21,23.91,24.92,1.93,0.0
20200702:1230,20.37,10.15,24.06,1.45,0.0
20200702:1330,0.0,-3.47,23.63,1.1,0.0
20200702:1430,0.0,0.0,23.45,0.97,0.0
20200702:1530,0.0,0.0,23.31,0.9,0.0
20200702:1630,0.0,0.0,23.19,0.76,0.0
20200702:1730,0.0,0.0,23.12,1.1,0.0
20200702:1830,0.0,0.0,23.16,1.24,0.0
20200702:1930,0.0,0.0,23.12,1.03,0.0
20200702:2030,0.0,0.0,23.09,0.69,0.0
20200702:2130,0.0,0.0,22.93,0.76,0.0
20200702:2230,0.0,0.0,22.75,1.1,0.0
20200702:2330,0.0,0.0,22.69,0.9,0.0
20200703:0030,0.0,-2.4,22.67,0.55,0.0
20200703:0130,16.5,11.24,22.87,0.55,0.0
20200703:0230,35.53,25.02,22.97,0.28,0.0
20200703:0330,97.34,38.81,24.05,0.21,0.0
20200703:0430,109.5,52.41,24.02,0.28,0.0
20200703:0530,153.27,65.33,24.99,0.55,0.0
20200703:0630,194.78,75.39,24.66,0.55,0.0
20200703:0730,78.41,74.86,24.73,1.03,0.0
20200703:0830,136.97,64.38,24.11,0.76,0.0
20200703:0930,104.33,51.38,24.17,0.97,0.0
20200703:1030,93.21,37.75,24.04,0.62,0.0
20200703:1130,73.08,23.95,24.3,1.03,0.0
20200703:1230,25.84,10.18,23.82,1.17,0.0
20200703:1330,0.0,-3.44,23.53,1.24,0.0
20200703:1430,0.0,0.0,23.33,1.24,0.0
20200703:1530,0.0,0.0,23.19,1.31,0.0
20200703:1630,0.0,0.0,23.03,1.03,0.0
20200703:1730,0.0,0.0,23.02,0.76,0.0
20200703:1830,0.0,0.0,23.16,0.41,0.0
20200703:1930,0.0,0.0,23.14,0.55,0.0
20200703:2030,0.0,0.0,23.03,0.28,0.0
20200703:2130,0.0,0.0,22.98,0.14,0.0
20200703:2230,0.0,0.0,23.07,0.21,0.0
20200703:2330,0.0,0.0,23.22,0.0,0.0
20200704:0030,0.0,-2.46,22.98,0.55,0.0
20200704:0130,20.65,11.18,22.92,0.62,0.0
20200704:0230,53.12,24.97,23.03,0.41,0.0
20200704:0330,115.56,38.77,23.39,0.41,0.0
20200704:0430,194.25,52.39,23.87,0.34,0.0
20200704:0530,295.56,65.33,24.86,0.28,0.0
20200704:0630,308.97,75.45,25.32,0.41,0.0
20200704:0730,357.67,74.95,25.67,0.97,0.0
20200704:0830,317.39,64.46,26.33,1.59,0.0
20200704:0930,305.66,51.44,26.71,1.72,0.0
20200704:1030,214.75,37.8,26.78,1.72,0.0
20200704:1130,100.45,23.99,26.54,1.24,0.0
20200704:1230,36.67,10.21,26.3,1.1,0.0
20200704:1330,0.0,-3.42,24.98,0.83,0.0
20200704:1430,0.0,0.0,24.51,0.69,0.0
20200704:1530,0.0,0.0,24.03,0.34,0.0
20200704:1630,0.0,0.0,23.71,0.28,0.0
20200704:1730,0.0,0.0,23.55,0.34,0.0
20200704:1830,0.0,0.0,23.65,0.28,0.0
20200704:1930,0.0,0.0,23.86,0.21,0.0
20200704:2030,0.0,0.0,23.78,0.28,0.0
20200704:2130,0.0,0.0,23.73,0.41,0.0
20200704:2230,0.0,0.0,23.47,0.83,0.0
20200704:2330,0.0,0.0,23.33,1.03,0.0
20200705:0030,0.0,-2.52,23.32,0.83,0.0
20200705:0130,29.99,11.13,23.34,0.48,0.0
20200705:0230,92.24,24.93,24.22,0.14,0.0
20200705:0330,175.96,38.74,24.38,0.28,0.0
20200705:0430,338.91,52.37,28.41,0.41,0.0
20200705:0530,378.61,65.34,26.17,0.76,0.0
20200705:0630,425.65,75.51,26.91,0.9,0.0
20200705:0730,424.35,75.05,26.62,1.03,0.0
20200705:0830,371.22,64.54,27.12,1.03,0.0
20200705:0930,281.32,51.5,27.58,1.72,0.0
20200705:1030,189.21,37.85,27.27,1.59,0.0
20200705:1130,114.13,24.03,26.52,1.24,0.0
20200705:1230,33.01,10.24,25.5,1.03,0.0
20200705:1330,0.0,-3.4,24.91,0.62,0.0
20200705:1430,0.0,0.0,24.28,0.76,0.0
20200705:1530,0.0,0.0,23.96,0.97,0.0
20200705:1630,0.0,0.0,23.56,0.9,0.0
20200705:1730,0.0,0.0,23.37,0.76,0.0
20200705:1830,0.0,0.0,23.42,0.83,0.0
20200705:1930,0.0,0.0,23.35,0.83,0.0
20200705:2030,0.0,0.0,23.19,0.97,0.0
20200705:2130,0.0,0.0,23.05,0.83,0.0
20200705:2230,0.0,0.0,22.9,0.69,0.0
20200705:2330,0.0,0.0,22.95,0.28,0.0
20200706:0030,0.0,-2.58,23.02,0.28,0.0
20200706:0130,23.02,11.09,23.17,0.41,0.0
20200706:0230,78.6,24.89,23.54,0.34,0.0
20200706:0330,166.6,38.71,24.19,0.41,0.0
20200706:0430,302.42,52.36,24.83,0.62,0.0
20200706:0530,400.39,65.35,25.8,0.9,0.0
20200706:0630,449.31,75.57,26.99,0.9,0.0
20200706:0730,475.3,75.15,27.94,1.59,0.0
20200706:0830,335.67,64.61,27.72,2.21,0.0
20200706:0930,283.18,51.56,26.08,2.21,0.0
20200706:1030,182.5,37.89,26.58,1.31,0.0
20200706:1130,109.89,24.07,26.06,1.03,0.0
20200706:1230,42.51,10.27,25.59,1.31,0.0
20200706:1330,0.0,-3.38,24.61,1.52,0.0
20200706:1430,0.0,0.0,24.15,1.52,0.0
20200706:1530,0.0,0.0,23.61,1.03,0.0
20200706:1630,0.0,0.0,23.34,0.69,0.0
20200706:1730,0.0,0.0,23.74,1.1,0.0
20200706:1830,0.0,0.0,23.66,0.76,0.0
20200706:1930,0.0,0.0,23.99,0.41,0.0
20200706:2030,0.0,0.0,23.94,0.28,0.0
20200706:2130,0.0,0.0,23.44,0.62,0.0
20200706:2230,0.0,0.0,23.13,0.41,0.0
20200706:2330,0.0,0.0,23.17,0.83,0.0
20200707:0030,0.0,-2.63,22.92,1.03,0.0
20200707:0130,27.29,11.04,22.78,1.03,0.0
20200707:0230,100.09,24.85,23.07,0.76,0.0
20200707:0330,209.97,38.68,24.37,1.1,0.0
20200707:0430,347.92,52.34,25.69,0.97,0.0
20200707:0530,501.34,65.36,27.29,0.76,0.0
20200707:0630,514.83,75.64,28.71,1.31,0.0
20200707:0730,465.5,75.26,29.0,2.14,0.0
20200707:0830,418.19,64.69,28.72,2.28,0.0
20200707:0930,310.99,51.62,28.39,1.72,0.0
20200707:1030,202.12,37.94,28.18,1.72,0.0
20200707:1130,86.86,24.11,27.33,1.93,0.0
20200707:1230,29.99,10.29,25.76,1.38,0.0
20200707:1330,0.0,-3.36,25.08,1.03,0.0
20200707:1430,0.0,0.0,24.88,1.31,0.0
20200707:1530,0.0,0.0,24.59,1.1,0.0
20200707:1630,0.0,0.0,24.34,1.17,0.0
20200707:1730,0.0,0.0,24.18,1.24,0.0
20200707:1830,0.0,0.0,23.87,1.31,0.0
20200707:1930,0.0,0.0,23.99,1.03,0.0
20200707:2030,0.0,0.0,23.76,0.97,0.0
20200707:2130,0.0,0.0,23.63,0.97,0.0
20200707:2230,0.0,0.0,23.36,0.97,0.0
20200707:2330,0.0,0.0,23.03,0.97,0.0
20200708:0030,0.0,-2.69,22.85,0.9,0.0
20200708:0130,54.38,10.99,22.78,0.83,0.0
20200708:0230,130.36,24.81,23.85,0.48,0.0
20200708:0330,254.37,38.66,25.07,0.9,0.0
20200708:0430,362.16,52.33,26.57,1.72,0.0
20200708:0530,406.27,65.38,27.25,2.28,0.0
20200708:0630,441.45,75.72,28.05,2.41,0.0
20200708:0730,412.31,75.37,27.95,1.66,0.0
20200708:0830,301.53,64.77,28.29,2.21,0.0
20200708:0930,249.14,51.68,27.64,2.76,0.0
20200708:1030,178.54,37.99,26.6,2.21,0.0
20200708:1130,79.43,24.14,26.46,2.07,0.0
20200708:1230,29.91,10.32,26.07,1.93,0.0
20200708:1330,0.0,-3.35,25.66,1.86,0.0
20200708:1430,0.0,0.0,25.27,1.86,0.0
20200708:1530,0.0,0.0,24.9,1.66,0.0
20200708:1630,0.0,0.0,24.62,1.59,0.0
20200708:1730,0.0,0.0,24.29,1.52,0.0
20200708:1830,0.0,0.0,23.93,1.31,0.0
20200708:1930,0.0,0.0,24.19,1.24,0.0
20200708:2030,0.0,0.0,23.95,1.1,0.0
20200708:2130,0.0,0.0,23.67,1.17,0.0
20200708:2230,0.0,0.0,23.55,1.17,0.0
20200708:2330,0.0,0.0,23.61,1.31,0.0
20200709:0030,0.0,-2.75,23.23,1.31,0.0
20200709:0130,42.83,10.94,22.86,0.83,0.0
20200709:0230,120.75,24.78,23.95,0.55,0.0
20200709:0330,214.01,38.63,25.19,0.83,0.0
20200709:0430,285.09,52.33,25.74,1.24,0.0
20200709:0530,349.43,65.4,26.03,1.45,0.0
20200709:0630,220.09,75.8,26.53,1.52,0.0
20200709:0730,354.32,75.49,25.32,1.24,0.0
20200709:0830,363.76,64.86,26.37,1.31,0.0
20200709:0930,333.37,51.74,27.19,2.21,0.0
20200709:1030,144.48,38.03,27.61,2.21,0.0
20200709:1130,57.64,24.17,25.63,1.38,0.0
20200709:1230,18.56,10.34,24.61,0.97,0.0
20200709:1330,0.0,-3.34,24.18,0.62,0.0
20200709:1430,0.0,0.0,23.89,1.17,0.0
20200709:1530,0.0,0.0,23.55,1.1,0.0
20200709:1630,0.0,0.0,23.28,1.17,0.0
20200709:1730,0.0,0.0,22.92,1.17,0.0
20200709:1830,0.0,0.0,22.8,1.24,0.0
20200709:1930,0.0,0.0,22.82,0.9,0.0
20200709:2030,0.0,0.0,22.79,0.83,0.0
20200709:2130,0.0,0.0,22.73,0.62,0.0
20200709:2230,0.0,0.0,22.79,0.55,0.0
20200709:2330,0.0,0.0,22.79,0.48,0.0
20200710:0030,0.0,-2.81,22.55,0.69,0.0
20200710:0130,45.37,10.89,22.27,1.03,0.0
20200710:0230,119.97,24.74,23.22,0.41,0.0
20200710:0330,252.78,38.61,24.19,0.41,0.0
20200710:0430,343.55,52.32,25.66,1.1,0.0
20200710:0530,420.74,65.42,26.44,1.86,0.0
20200710:0630,299.45,75.89,27.29,2.21,0.0
20200710:0730,390.82,75.61,26.36,1.1,0.0
20200710:0830,417.5,64.94,27.6,1.38,0.0
20200710:0930,270.83,51.8,27.84,1.93,0.0
20200710:1030,194.33,38.08,27.57,2.0,0.0
20200710:1130,98.8,24.21,27.31,1.59,0.0
20200710:1230,34.22,10.36,26.43,1.1,0.0
20200710:1330,0.0,-3.33,25.73,0.55,0.0
20200710:1430,0.0,0.0,24.92,0.76,0.0
20200710:1530,0.0,0.0,24.49,1.1,0.0
20200710:1630,0.0,0.0,23.47,1.1,0.0
20200710:1730,0.0,0.0,23.26,0.9,0.0
20200710:1830,0.0,0.0,23.2,0.9,0.0
20200710:1930,0.0,0.0,23.49,0.41,0.0
20200710:2030,0.0,0.0,23.61,0.34,0.0
20200710:2130,0.0,0.0,23.57,0.21,0.0
20200710:2230,0.0,0.0,23.25,0.28,0.0
20200710:2330,0.0,0.0,23.01,0.48,0.0
20200711:0030,0.0,-2.87,22.99,0.62,0.0
20200711:0130,27.98,10.85,23.12,0.83,0.0
20200711:0230,117.88,24.71,23.43,0.62,0.0
20200711:0330,226.44,38.59,24.67,0.69,0.0
20200711:0430,365.29,52.32,25.71,0.76,0.0
20200711:0530,453.56,65.45,27.03,0.9,0.0
20200711:0630,373.55,75.98,28.22,1.31,0.0
20200711:0730,449.08,75.74,28.2,1.03,0.0
20200711:0830,292.04,65.03,28.78,1.38,0.0
20200711:0930,290.75,51.86,28.54,1.79,0.0
20200711:1030,187.28,38.12,28.24,1.93,0.0
20200711:1130,83.37,24.24,26.75,1.66,0.0
20200711:1230,27.41,10.38,25.66,1.38,0.0
20200711:1330,0.0,-3.33,25.17,1.24,0.0
20200711:1430,0.0,0.0,24.21,1.45,0.0
20200711:1530,0.0,0.0,23.49,1.03,0.0
20200711:1630,0.0,0.0,23.11,0.83,0.0
20200711:1730,0.0,0.0,23.18,0.9,0.0
20200711:1830,0.0,0.0,23.07,0.69,0.0
20200711:1930,0.0,0.0,23.48,0.14,0.0
20200711:2030,0.0,0.0,23.12,0.48,0.0
20200711:2130,0.0,0.0,23.07,0.41,0.0
20200711:2230,0.0,0.0,23.04,0.69,0.0
20200711:2330,0.0,0.0,23.01,0.69,0.0
20200712:0030,0.0,-2.93,23.14,0.83,0.0
20200712:0130,27.69,10.8,23.0,0.83,0.0
20200712:0230,86.69,24.67,23.46,0.62,0.0
20200712:0330,141.82,38.57,24.16,0.62,0.0
20200712:0430,252.23,52.32,25.14,0.97,0.0
20200712:0530,205.44,65.48,24.89,1.59,0.0
20200712:0630,368.76,76.08,24.23,2.21,0.0
20200712:0730,321.31,75.87,26.3,1.31,0.0
20200712:0830,285.57,65.11,27.23,1.66,0.0
20200712:0930,212.3,51.92,27.13,1.59,0.0
20200712:1030,195.8,38.16,26.83,1.24,0.0
20200712:1130,98.06,24.26,26.93,1.1,0.0
20200712:1230,31.72,10.39,26.68,1.17,0.0
20200712:1330,0.0,-3.33,25.91,1.66,0.0
20200712:1430,0.0,0.0,25.06,1.66,0.0
20200712:1530,0.0,0.0,24.78,1.24,0.0
20200712:1630,0.0,0.0,24.48,1.03,0.0
20200712:1730,0.0,0.0,24.21,1.31,0.0
20200712:1830,0.0,0.0,23.43,0.97,0.0
20200712:1930,0.0,0.0,24.17,0.34,0.0
20200712:2030,0.0,0.0,23.42,0.69,0.0
20200712:2130,0.0,0.0,23.1,0.83,0.0
20200712:2230,0.0,0.0,22.73,0.69,0.0
20200712:2330,0.0,0.0,23.71,0.14,0.0
20200713:0030,0.0,-2.98,22.3,0.62,0.0
20200713:0130,31.24,10.76,22.1,0.83,0.0
20200713:0230,92.68,24.64,23.31,0.83,0.0
20200713:0330,172.98,38.55,24.05,0.48,0.0
20200713:0430,291.45,52.32,25.17,1.1,0.0
20200713:0530,184.97,65.52,25.81,1.59,0.0
20200713:0630,297.45,76.19,25.44,1.52,0.0
20200713:0730,344.32,76.0,24.99,1.17,0.0
20200713:0830,286.82,65.2,25.7,1.45,0.0
20200713:0930,213.03,51.98,25.47,1.38,0.0
20200713:1030,164.48,38.2,24.85,1.38,0.0
20200713:1130,52.47,24.29,24.39,1.17,0.0
20200713:1230,28.26,10.41,24.1,0.83,0.0
20200713:1330,0.0,-3.33,23.93,0.69,0.0
20200713:1430,0.0,0.0,23.6,0.69,0.0
20200713:1530,0.0,0.0,23.14,0.97,0.0
20200713:1630,0.0,0.0,23.05,1.17,0.0
20200713:1730,0.0,0.0,22.92,1.45,0.0
20200713:1830,0.0,0.0,22.91,1.52,0.0
20200713:1930,0.0,0.0,23.32,1.45,0.0
20200713:2030,0.0,0.0,23.48,1.31,0.0
20200713:2130,0.0,0.0,22.84,1.1,0.0
20200713:2230,0.0,0.0,22.6,0.9,0.0
20200713:2330,0.0,0.0,22.3,0.83,0.0
20200714:0030,0.0,-3.04,22.14,1.24,0.0
20200714:0130,37.96,10.71,22.39,0.97,0.0
20200714:0230,105.62,24.61,23.41,0.48,0.0
20200714:0330,186.87,38.54,24.25,0.55,0.0
20200714:0430,343.61,52.32,25.38,0.83,0.0
20200714:0530,486.57,65.55,27.02,1.52,0.0
20200714:0630,564.58,76.3,28.55,2.14,0.0
20200714:0730,508.69,76.14,30.16,2.41,0.0
20200714:0830,447.9,65.28,30.47,2.83,0.0
20200714:0930,297.2,52.03,29.7,3.31,0.0
20200714:1030,178.0,38.24,28.31,2.9,0.0
20200714:1130,99.06,24.31,26.7,1.79,0.0
20200714:1230,32.32,10.42,26.26,1.17,0.0
20200714:1330,0.0,-3.33,25.7,0.97,0.0
20200714:1430,0.0,0.0,24.47,1.52,0.0
20200714:1530,0.0,0.0,23.69,1.31,0.0
20200714:1630,0.0,0.0,23.5,1.03,0.0
20200714:1730,0.0,0.0,23.33,1.24,0.0
20200714:1830,0.0,0.0,23.5,1.1,0.0
20200714:1930,0.0,0.0,23.65,0.97,0.0
20200714:2030,0.0,0.0,23.63,0.97,0.0
20200714:2130,0.0,0.0,23.31,0.9,0.0
20200714:2230,0.0,0.0,22.74,0.69,0.0
20200714:2330,0.0,0.0,23.3,0.34,0.0
20200715:0030,0.0,-3.1,23.46,0.21,0.0
20200715:0130,39.77,10.67,23.53,0.28,0.0
20200715:0230,114.41,24.58,23.72,0.41,0.0
20200715:0330,188.0,38.52,24.3,0.69,0.0
20200715:0430,239.95,52.33,25.66,1.45,0.0
20200715:0530,227.71,65.6,25.08,1.17,0.0
20200715:0630,424.05,76.41,25.68,0.97,0.0
20200715:0730,365.3,76.28,28.13,2.28,0.0
20200715:0830,377.61,65.37,26.02,2.28,0.0
20200715:0930,229.43,52.09,26.56,1.79,0.0
20200715:1030,200.24,38.28,26.14,1.03,0.0
20200715:1130,115.64,24.34,26.03,1.17,0.0
