Latitude (decimal degrees): 9.948
Longitude (decimal degrees): 76.569
Elevation (m): 50.0
Irradiance Time Offset (h): 0.0
month,year
1,2018
2,2022
3,2017
4,2009
5,2016
6,2006
7,2012
8,2021
9,2021
10,2020
11,2020
12,2007
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20160530:1700,23.36,96.2,0.0,-0.0,0.0,415.3,1.1,109.0,99520.0
20160530:1800,23.27,99.4,0.0,-0.0,0.0,417.65,1.03,107.0,99510.0
20160530:1900,23.48,96.2,0.0,-0.0,0.0,426.9,0.62,89.0,99450.0
20160530:2000,23.62,99.4,0.0,-0.0,0.0,429.45,0.41,79.0,99390.0
20160530:2100,23.67,99.4,0.0,-0.0,0.0,429.05,0.21,64.0,99340.0
20160530:2200,23.72,99.4,0.0,-0.0,0.0,433.3,0.34,99.0,99310.0
20160530:2300,23.7,99.4,0.0,-0.0,0.0,431.55,0.76,119.0,99320.0
20160531:0000,23.64,99.4,0.0,-0.0,0.0,432.35,0.97,118.0,99340.0
20160531:0100,23.5,96.2,65.2,109.2,54.4,422.6,1.03,125.0,99380.0
20160531:0200,24.17,96.2,132.7,100.64,99.1,424.4,0.69,152.0,99460.0
20160531:0300,24.86,96.2,278.45,217.09,158.95,423.85,0.69,173.0,99550.0
20160531:0400,25.79,93.15,346.25,179.84,214.25,429.65,0.55,182.0,99580.0
20160531:0500,26.22,93.2,506.6,295.78,248.7,432.55,0.21,216.0,99600.0
20160531:0600,27.04,90.25,642.1,433.94,227.75,433.5,0.48,253.0,99560.0
20160531:0700,28.07,79.4,342.35,113.39,231.55,426.55,1.52,249.0,99470.0
20160531:0800,25.65,90.2,254.8,22.3,233.9,442.2,1.24,253.0,99480.0
20160531:0900,25.61,93.15,176.95,38.19,144.95,428.3,0.83,252.0,99430.0
20160531:1000,24.78,100.0,196.3,100.02,127.7,433.5,0.83,279.0,99400.0
20160531:1100,24.73,100.0,60.2,23.19,48.8,430.6,0.41,330.0,99370.0
20160531:1200,24.75,100.0,32.35,10.44,29.55,433.5,0.55,42.0,99410.0
20160531:1300,24.56,100.0,0.25,0.0,0.25,433.9,0.69,35.0,99460.0
20160531:1400,24.28,99.4,0.0,-0.0,0.0,425.2,0.9,58.0,99530.0
20160531:1500,24.15,96.2,0.0,-0.0,0.0,426.35,0.76,89.0,99620.0
20160531:1600,23.43,99.0,0.0,-0.0,0.0,433.9,0.29,118.0,99650.0
20160531:1700,23.5,99.0,0.0,-0.0,0.0,432.83,0.35,161.0,99710.0
20160531:1800,23.56,99.0,0.0,-0.0,0.0,431.76,0.4,304.0,99710.0
20160531:1900,23.63,99.29,0.0,-0.0,0.0,430.69,0.46,85.0,99640.0
20160531:2000,23.69,98.58,0.0,-0.0,0.0,429.62,0.51,83.0,99560.0
20160531:2100,23.76,97.87,0.0,-0.0,0.0,428.55,0.57,79.0,99460.0
20160531:2200,23.82,97.16,0.0,-0.0,0.0,427.48,0.62,94.0,99430.0
20160531:2300,23.89,96.45,0.0,-0.0,0.0,426.4,0.68,108.0,99410.0
20060601:0000,23.95,95.73,0.0,-0.0,0.0,425.33,0.73,89.0,99560.0
20060601:0100,24.02,95.02,31.55,5.56,31.0,424.26,0.79,84.0,99580.0
20060601:0200,24.08,94.31,89.2,0.75,88.95,423.19,0.85,72.0,99600.0
20060601:0300,24.15,93.6,182.6,8.9,177.7,422.12,0.9,68.0,99640.0
20060601:0400,24.21,92.89,312.15,53.2,273.1,421.05,0.96,34.0,99650.0
20060601:0500,24.28,92.18,330.45,56.83,280.9,419.98,1.01,312.0,99690.0
20060601:0600,24.34,91.47,421.5,78.76,346.3,418.91,1.07,300.0,99670.0
20060601:0700,24.41,90.75,397.1,71.18,327.55,417.84,1.12,315.0,99540.0
20060601:0800,27.2,74.3,260.75,15.52,246.2,432.15,1.93,302.0,99490.0
20060601:0900,26.9,79.3,224.7,32.1,197.8,428.45,1.66,301.0,99410.0
20060601:1000,26.52,81.85,174.4,24.13,157.85,428.85,1.24,302.0,99360.0
20060601:1100,26.18,81.85,115.3,39.77,95.75,431.95,1.03,304.0,99350.0
20060601:1200,25.7,90.2,35.25,37.11,25.3,423.65,0.48,313.0,99390.0
20060601:1300,24.85,93.15,0.2,0.0,0.2,421.1,0.83,302.0,99450.0
20060601:1400,24.75,90.15,0.0,-0.0,0.0,423.85,0.83,1.0,99520.0
20060601:1500,24.24,90.1,0.0,-0.0,0.0,427.9,0.97,338.0,99600.0
20060601:1600,24.02,93.1,0.0,-0.0,0.0,421.9,1.03,14.0,99650.0
20060601:1700,23.93,93.1,0.0,-0.0,0.0,423.85,1.1,51.0,99670.0
20060601:1800,23.84,93.1,0.0,-0.0,0.0,423.25,1.1,57.0,99660.0
20060601:1900,23.8,93.1,0.0,-0.0,0.0,415.3,0.76,3.0,99590.0
20060601:2000,23.63,96.2,0.0,-0.0,0.0,416.45,0.83,333.0,99560.0
20060601:2100,23.83,90.1,0.0,-0.0,0.0,427.1,0.97,13.0,99540.0
20060601:2200,23.74,90.1,0.0,-0.0,0.0,428.45,1.1,36.0,99490.0
20060601:2300,23.77,90.1,0.0,-0.0,0.0,429.25,0.97,5.0,99490.0
20060602:0000,23.44,93.05,0.0,-0.0,0.0,421.3,0.83,341.0,99570.0
20060602:0100,23.48,93.05,50.5,96.31,41.0,430.7,0.69,358.0,99630.0
20060602:0200,23.81,93.1,79.7,32.54,68.85,429.05,0.69,16.0,99660.0
20060602:0300,24.09,96.2,237.15,106.57,178.55,430.8,0.76,20.0,99680.0
20060602:0400,25.1,87.25,418.65,228.14,251.35,422.65,1.17,20.0,99660.0
20060602:0500,26.07,81.8,522.8,330.96,234.45,430.8,1.1,357.0,99640.0
20060602:0600,26.99,76.7,693.4,455.7,258.55,425.2,1.24,335.0,99590.0
20060602:0700,28.44,69.75,683.0,462.08,231.7,420.15,1.45,300.0,99560.0
20060602:0800,28.73,69.85,748.15,627.67,160.05,427.9,1.72,295.0,99470.0
20060602:0900,28.84,69.85,510.7,408.48,168.45,426.55,2.07,292.0,99370.0
20060602:1000,28.34,72.1,426.95,410.29,145.45,425.4,2.14,289.0,99310.0
20060602:1100,27.78,74.4,237.55,301.21,89.35,421.3,2.0,297.0,99310.0
20060602:1200,26.59,84.55,53.25,62.3,36.5,422.85,1.38,300.0,99370.0
20060602:1300,24.93,90.15,0.35,0.0,0.35,413.4,1.52,328.0,99440.0
20060602:1400,24.31,93.1,0.0,-0.0,0.0,420.75,1.24,333.0,99510.0
20060602:1500,24.15,93.1,0.0,-0.0,0.0,423.65,1.17,1.0,99560.0
20060602:1600,24.01,96.2,0.0,-0.0,0.0,417.05,1.1,46.0,99580.0
20060602:1700,23.81,93.1,0.0,-0.0,0.0,413.0,1.17,70.0,99590.0
20060602:1800,23.69,93.1,0.0,-0.0,0.0,414.35,0.97,48.0,99600.0
20060602:1900,23.54,93.05,0.0,-0.0,0.0,405.85,0.9,10.0,99530.0
20060602:2000,23.63,93.05,0.0,-0.0,0.0,420.15,0.9,6.0,99460.0
20060602:2100,23.77,90.1,0.0,-0.0,0.0,422.1,1.1,2.0,99400.0
20060602:2200,23.6,93.05,0.0,-0.0,0.0,418.0,1.24,346.0,99370.0
20060602:2300,23.53,93.05,0.0,-0.0,0.0,416.45,1.24,350.0,99380.0
20060603:0000,23.5,93.05,0.0,-0.0,0.0,420.55,1.1,1.0,99410.0
20060603:0100,23.62,93.05,84.15,233.38,61.2,423.95,1.03,357.0,99430.0
20060603:0200,24.19,93.1,194.9,217.33,122.55,425.95,0.69,339.0,99490.0
20060603:0300,24.94,90.15,323.4,253.06,184.4,421.5,0.76,349.0,99540.0
20060603:0400,25.8,84.5,567.2,472.66,220.9,420.55,0.97,354.0,99550.0
20060603:0500,27.12,81.9,681.3,520.16,228.45,424.0,1.1,338.0,99540.0
20060603:0600,28.18,76.85,728.0,523.77,228.5,428.45,1.52,316.0,99500.0
20060603:0700,28.92,69.85,734.15,526.42,220.25,417.45,2.34,291.0,99460.0
20060603:0800,28.74,69.85,673.7,510.88,195.15,430.6,2.48,286.0,99410.0
20060603:0900,28.03,74.4,325.6,137.62,210.3,431.2,2.48,297.0,99350.0
20060603:1000,25.78,87.3,240.9,172.07,122.8,431.0,1.45,295.0,99360.0
20060603:1100,25.71,87.3,203.85,223.23,93.9,414.35,1.17,308.0,99310.0
20060603:1200,25.28,90.2,56.4,85.67,33.3,415.1,1.52,315.0,99350.0
20060603:1300,24.16,93.1,0.35,0.0,0.35,418.2,1.03,337.0,99400.0
20060603:1400,24.1,96.2,0.0,-0.0,0.0,419.75,1.03,12.0,99470.0
20060603:1500,23.98,96.2,0.0,-0.0,0.0,419.95,0.97,22.0,99560.0
20060603:1600,23.54,99.4,0.0,-0.0,0.0,425.0,0.97,354.0,99610.0
20060603:1700,23.41,100.0,0.0,-0.0,0.0,431.0,0.76,352.0,99680.0
20060603:1800,23.51,99.4,0.0,-0.0,0.0,431.35,0.97,8.0,99650.0
20060603:1900,23.78,96.2,0.0,-0.0,0.0,426.35,0.9,349.0,99560.0
20060603:2000,23.89,96.2,0.0,-0.0,0.0,432.55,0.69,2.0,99460.0
20060603:2100,23.39,99.4,0.0,-0.0,0.0,427.1,0.9,353.0,99380.0
20060603:2200,23.3,99.4,0.0,-0.0,0.0,428.85,1.03,355.0,99330.0
20060603:2300,23.24,99.4,0.0,-0.0,0.0,429.25,0.83,346.0,99340.0
20060604:0000,23.26,99.4,0.0,-0.0,0.0,429.65,0.83,346.0,99350.0
20060604:0100,23.36,99.4,59.75,137.25,46.3,428.6,0.69,7.0,99380.0
20060604:0200,24.45,99.4,148.4,79.72,121.9,427.9,0.28,348.0,99460.0
20060604:0300,24.28,93.1,314.6,181.36,215.1,430.8,0.55,345.0,99510.0
20060604:0400,25.81,87.3,449.55,205.06,299.45,426.15,0.9,1.0,99510.0
20060604:0500,26.78,81.9,626.45,325.66,343.15,423.25,0.97,339.0,99490.0
20060604:0600,27.73,76.85,674.95,334.44,356.2,419.55,1.31,315.0,99450.0
20060604:0700,28.29,74.5,345.05,93.77,253.55,419.75,1.31,308.0,99430.0
20060604:0800,27.56,76.8,335.25,37.91,299.75,437.2,1.52,297.0,99370.0
20060604:0900,25.36,87.3,291.2,101.99,205.75,421.5,1.86,307.0,99360.0
20060604:1000,25.05,90.15,148.85,9.18,142.55,420.9,1.31,319.0,99370.0
20060604:1100,24.88,93.15,87.15,14.7,79.9,426.55,0.9,338.0,99350.0
20060604:1200,24.58,96.2,24.55,7.4,22.55,421.3,0.9,313.0,99380.0
20060604:1300,24.41,93.1,0.2,0.0,0.2,431.75,0.9,333.0,99430.0
20060604:1400,24.28,93.1,0.0,-0.0,0.0,432.55,0.62,345.0,99490.0
20060604:1500,23.89,99.4,0.0,-0.0,0.0,425.95,0.83,354.0,99560.0
20060604:1600,23.77,99.4,0.0,-0.0,0.0,425.0,0.97,3.0,99620.0
20060604:1700,23.63,99.4,0.0,-0.0,0.0,423.65,0.9,355.0,99660.0
20060604:1800,23.37,99.4,0.0,-0.0,0.0,424.2,0.9,358.0,99650.0
20060604:1900,23.54,100.0,0.0,-0.0,0.0,432.55,0.41,3.0,99560.0
20060604:2000,23.64,100.0,0.0,-0.0,0.0,432.35,0.55,340.0,99490.0
20060604:2100,23.68,99.4,0.0,-0.0,0.0,433.3,0.83,328.0,99430.0
20060604:2200,23.65,99.4,0.0,-0.0,0.0,434.85,0.9,320.0,99430.0
20060604:2300,23.48,100.0,0.0,-0.0,0.0,430.0,0.83,334.0,99420.0
20060605:0000,23.43,100.0,0.0,-0.0,0.0,430.2,0.34,319.0,99440.0
20060605:0100,23.51,100.0,36.85,28.68,34.05,429.55,0.48,235.0,99510.0
20060605:0200,24.41,99.4,114.45,79.1,88.2,430.0,0.28,269.0,99560.0
20060605:0300,24.4,96.2,247.1,164.33,157.05,431.55,0.55,311.0,99620.0
20060605:0400,25.36,90.2,276.75,121.36,188.0,431.35,0.97,313.0,99660.0
20060605:0500,25.43,90.2,495.1,273.85,257.05,431.55,0.97,296.0,99670.0
20060605:0600,26.69,81.9,385.1,141.78,250.05,428.3,1.31,288.0,99620.0
20060605:0700,26.12,84.5,504.15,268.15,242.6,435.85,1.03,301.0,99580.0
20060605:0800,26.47,81.85,500.1,219.75,294.35,422.85,1.38,298.0,99500.0
20060605:0900,27.03,81.9,289.15,117.91,190.35,425.95,1.66,286.0,99390.0
20060605:1000,26.55,84.55,245.2,81.96,188.9,422.1,1.31,297.0,99360.0
20060605:1100,26.09,87.3,129.6,57.53,101.2,427.9,1.31,292.0,99340.0
20060605:1200,25.56,90.2,43.25,24.15,36.7,431.2,1.24,297.0,99390.0
20060605:1300,24.59,96.2,0.45,0.0,0.45,422.45,1.03,298.0,99430.0
20060605:1400,24.36,93.1,0.0,-0.0,0.0,412.2,0.76,307.0,99510.0
20060605:1500,24.01,96.2,0.0,-0.0,0.0,422.85,0.97,340.0,99600.0
20060605:1600,23.94,96.2,0.0,-0.0,0.0,427.1,1.03,347.0,99650.0
20060605:1700,23.85,96.2,0.0,-0.0,0.0,424.4,1.03,359.0,99690.0
20060605:1800,23.8,96.2,0.0,-0.0,0.0,426.15,1.03,15.0,99680.0
20060605:1900,23.96,93.1,0.0,-0.0,0.0,427.9,0.62,26.0,99560.0
20060605:2000,24.01,96.2,0.0,-0.0,0.0,432.15,0.55,36.0,99500.0
20060605:2100,24.1,96.2,0.0,-0.0,0.0,434.1,0.55,21.0,99430.0
20060605:2200,24.09,96.2,0.0,-0.0,0.0,434.85,0.48,22.0,99390.0
20060605:2300,24.07,96.2,0.0,-0.0,0.0,433.7,0.41,51.0,99380.0
20060606:0000,24.0,96.2,0.0,-0.0,0.0,434.1,0.21,67.0,99400.0
20060606:0100,24.3,93.1,48.15,71.5,41.2,432.85,0.21,44.0,99450.0
20060606:0200,24.93,96.2,130.75,30.94,120.5,431.2,0.14,22.0,99480.0
20060606:0300,24.77,96.2,296.9,179.96,198.4,432.55,0.48,309.0,99560.0
20060606:0400,25.96,87.3,371.2,241.24,194.95,426.35,0.9,312.0,99610.0
20060606:0500,26.72,81.9,513.4,241.47,303.65,422.45,1.1,308.0,99600.0
20060606:0600,27.66,81.95,580.75,303.15,292.15,426.75,1.52,293.0,99550.0
20060606:0700,28.02,79.4,567.6,269.74,304.6,431.4,1.72,293.0,99480.0
20060606:0800,27.89,76.85,457.05,130.27,335.1,431.55,2.0,299.0,99420.0
20060606:0900,27.65,79.35,328.6,136.28,214.4,432.55,1.79,303.0,99300.0
20060606:1000,27.57,81.95,323.1,230.85,164.45,420.75,1.31,300.0,99250.0
20060606:1100,27.38,81.95,158.1,87.41,114.9,420.15,1.66,311.0,99220.0
20060606:1200,25.78,90.2,40.0,9.01,37.55,419.2,1.17,316.0,99340.0
20060606:1300,25.37,93.15,0.35,0.0,0.35,416.65,0.62,310.0,99370.0
20060606:1400,25.14,93.15,0.0,-0.0,0.0,417.65,0.62,318.0,99460.0
20060606:1500,24.62,93.1,0.0,-0.0,0.0,416.65,0.69,330.0,99530.0
20060606:1600,24.21,93.1,0.0,-0.0,0.0,417.45,0.83,2.0,99560.0
20060606:1700,24.07,96.2,0.0,-0.0,0.0,427.9,0.48,21.0,99580.0
20060606:1800,24.39,93.1,0.0,-0.0,0.0,426.35,0.14,347.0,99560.0
20060606:1900,23.67,96.2,0.0,-0.0,0.0,418.6,0.41,94.0,99470.0
20060606:2000,23.59,99.4,0.0,-0.0,0.0,420.55,0.34,118.0,99430.0
20060606:2100,24.23,93.1,0.0,-0.0,0.0,427.1,0.14,140.0,99360.0
20060606:2200,23.99,96.2,0.0,-0.0,0.0,427.3,0.14,6.0,99320.0
20060606:2300,23.55,100.0,0.0,-0.0,0.0,430.6,0.28,351.0,99340.0
20060607:0000,23.54,100.0,0.0,-0.0,0.0,429.05,0.34,351.0,99350.0
20060607:0100,23.67,99.4,45.0,74.94,37.75,431.5,0.34,333.0,99430.0
20060607:0200,24.62,99.4,96.15,67.28,73.9,430.6,0.48,314.0,99520.0
20060607:0300,24.34,93.1,157.6,60.92,124.3,429.85,0.62,294.0,99580.0
20060607:0400,24.99,93.15,291.1,107.2,212.85,433.5,0.62,269.0,99620.0
20060607:0500,25.39,90.2,481.35,205.76,302.75,431.0,0.9,267.0,99630.0
20060607:0600,26.92,81.9,685.25,375.95,327.55,425.4,0.9,273.0,99580.0
20060607:0700,28.23,74.5,671.75,424.2,258.3,429.25,1.86,263.0,99550.0
20060607:0800,28.59,76.95,539.85,294.19,264.5,433.1,1.86,258.0,99480.0
20060607:0900,28.26,76.95,348.9,85.26,277.45,426.35,1.31,271.0,99420.0
20060607:1000,26.1,87.3,322.8,186.74,194.4,432.35,1.52,275.0,99410.0
20060607:1100,25.75,87.3,143.5,58.0,114.8,423.65,1.03,299.0,99410.0
20060607:1200,25.02,93.15,63.8,61.39,47.05,421.5,0.76,342.0,99420.0
20060607:1300,24.6,93.1,0.65,0.0,0.65,413.95,0.55,24.0,99440.0
20060607:1400,24.3,90.1,0.0,-0.0,0.0,401.4,0.76,35.0,99500.0
20060607:1500,23.99,93.1,0.0,-0.0,0.0,401.75,0.83,57.0,99560.0
20060607:1600,23.52,96.2,0.0,-0.0,0.0,396.95,0.83,69.0,99610.0
20060607:1700,23.09,99.4,0.0,-0.0,0.0,400.6,0.69,72.0,99660.0
20060607:1800,23.07,96.15,0.0,-0.0,0.0,410.3,0.41,68.0,99650.0
20060607:1900,24.33,90.1,0.0,-0.0,0.0,420.55,0.28,50.0,99580.0
20060607:2000,23.45,96.2,0.0,-0.0,0.0,416.1,0.76,57.0,99510.0
20060607:2100,23.46,96.2,0.0,-0.0,0.0,416.85,0.9,56.0,99420.0
20060607:2200,23.36,93.05,0.0,-0.0,0.0,415.5,0.9,57.0,99390.0
20060607:2300,23.15,93.05,0.0,-0.0,0.0,412.2,0.83,67.0,99350.0
20060608:0000,22.94,96.15,0.0,-0.0,0.0,409.9,0.83,83.0,99370.0
20060608:0100,22.96,96.15,96.0,359.43,61.4,416.2,0.55,89.0,99430.0
20060608:0200,24.4,93.1,240.95,398.54,109.4,417.05,0.07,124.0,99510.0
20060608:0300,25.38,90.2,437.5,544.16,140.4,414.75,0.07,231.0,99570.0
20060608:0400,26.75,76.7,628.9,678.39,134.2,419.0,0.34,285.0,99600.0
20060608:0500,27.72,72.0,491.95,337.63,199.1,409.9,0.97,264.0,99590.0
20060608:0600,27.92,74.4,721.75,551.24,197.55,427.1,1.59,262.0,99540.0
20060608:0700,28.83,67.6,764.5,522.16,255.75,423.65,2.0,278.0,99460.0
20060608:0800,29.15,69.85,654.05,462.37,221.35,423.05,2.07,281.0,99410.0
20060608:0900,28.81,72.15,421.15,161.9,285.45,435.05,1.86,282.0,99320.0
20060608:1000,26.95,79.3,315.8,147.69,214.2,428.1,1.93,280.0,99270.0
20060608:1100,26.8,79.3,163.75,95.58,116.4,426.35,1.72,280.0,99270.0
20060608:1200,26.28,84.55,64.9,53.9,50.15,425.0,0.76,283.0,99300.0
20060608:1300,24.97,90.15,0.7,0.0,0.7,412.8,0.76,325.0,99340.0
20060608:1400,24.75,90.15,0.0,-0.0,0.0,409.5,0.55,15.0,99410.0
20060608:1500,24.65,93.1,0.0,-0.0,0.0,413.4,0.9,60.0,99510.0
20060608:1600,24.33,90.1,0.0,-0.0,0.0,402.15,0.9,69.0,99550.0
20060608:1700,23.98,93.1,0.0,-0.0,0.0,404.85,0.9,73.0,99560.0
20060608:1800,23.6,96.2,0.0,-0.0,0.0,400.4,0.97,75.0,99530.0
20060608:1900,23.45,96.2,0.0,-0.0,0.0,396.95,0.83,49.0,99450.0
20060608:2000,23.29,93.05,0.0,-0.0,0.0,405.25,0.97,38.0,99360.0
20060608:2100,22.92,96.15,0.0,-0.0,0.0,397.9,0.9,38.0,99310.0
20060608:2200,22.61,96.15,0.0,-0.0,0.0,395.75,0.9,45.0,99280.0
20060608:2300,22.73,93.05,0.0,-0.0,0.0,404.85,0.62,40.0,99280.0
20060609:0000,22.96,96.15,0.0,-0.0,0.0,412.2,0.41,32.0,99300.0
20060609:0100,23.13,96.15,89.95,325.86,58.75,417.75,0.34,80.0,99360.0
20060609:0200,24.08,93.1,281.5,496.59,117.9,415.1,0.21,60.0,99420.0
20060609:0300,25.7,84.5,444.1,523.22,158.8,413.4,0.21,25.0,99470.0
20060609:0400,26.87,76.7,650.6,652.67,175.1,409.1,0.48,314.0,99510.0
20060609:0500,28.08,72.0,736.3,632.14,188.4,410.45,1.1,285.0,99510.0
20060609:0600,28.53,72.1,762.1,641.58,152.3,429.65,1.72,280.0,99450.0
20060609:0700,29.0,67.6,754.6,603.9,166.4,423.45,2.14,281.0,99420.0
20060609:0800,29.15,67.6,586.05,433.88,180.05,426.55,2.14,277.0,99340.0
20060609:0900,28.81,69.85,482.7,285.46,243.4,433.7,2.55,270.0,99260.0
20060609:1000,28.16,76.85,300.25,168.89,184.0,426.55,1.52,264.0,99270.0
20060609:1100,26.57,84.55,160.35,138.1,91.85,422.65,0.55,254.0,99270.0
20060609:1200,25.24,93.15,51.1,53.92,36.3,417.65,0.34,282.0,99350.0
20060609:1300,24.55,99.4,0.75,0.0,0.75,420.55,0.28,105.0,99390.0
20060609:1400,24.29,96.2,0.0,-0.0,0.0,406.0,1.1,129.0,99470.0
20060609:1500,23.91,96.2,0.0,-0.0,0.0,404.65,1.03,118.0,99580.0
20060609:1600,23.72,96.2,0.0,-0.0,0.0,414.15,1.1,76.0,99620.0
20060609:1700,23.61,96.2,0.0,-0.0,0.0,413.95,1.1,71.0,99630.0
20060609:1800,23.47,96.2,0.0,-0.0,0.0,417.05,0.9,76.0,99600.0
20060609:1900,24.23,90.1,0.0,-0.0,0.0,424.6,0.48,118.0,99530.0
20060609:2000,23.31,99.4,0.0,-0.0,0.0,428.3,0.76,113.0,99440.0
20060609:2100,23.36,99.4,0.0,-0.0,0.0,428.1,0.9,106.0,99360.0
20060609:2200,23.13,100.0,0.0,-0.0,0.0,420.75,0.83,92.0,99320.0
20060609:2300,23.01,100.0,0.0,-0.0,0.0,422.3,0.76,78.0,99340.0
20060610:0000,22.83,99.4,0.0,-0.0,0.0,418.0,0.69,71.0,99360.0
20060610:0100,23.01,100.0,77.1,193.29,58.7,425.7,0.69,46.0,99410.0
20060610:0200,24.48,96.2,166.9,156.03,115.6,426.15,0.48,48.0,99500.0
20060610:0300,24.42,93.1,374.85,425.56,143.1,418.6,0.48,49.0,99570.0
20060610:0400,26.22,81.85,575.4,476.06,228.9,413.4,0.48,7.0,99610.0
20060610:0500,27.08,79.3,719.9,568.68,227.35,413.95,0.69,311.0,99620.0
20060610:0600,28.01,74.4,609.35,285.42,338.2,414.9,1.17,292.0,99560.0
20060610:0700,27.96,74.4,652.55,335.47,325.9,424.2,1.17,271.0,99550.0
20060610:0800,28.36,72.1,590.2,310.58,299.6,420.15,1.38,274.0,99490.0
20060610:0900,28.3,72.1,516.05,284.27,277.7,424.6,1.52,282.0,99410.0
20060610:1000,28.19,74.4,356.8,190.71,225.45,418.0,1.59,286.0,99350.0
20060610:1100,27.66,76.8,177.2,123.32,115.95,420.9,1.59,280.0,99330.0
20060610:1200,26.37,84.55,66.1,97.7,39.2,414.15,0.9,259.0,99420.0
20060610:1300,25.56,87.3,0.8,0.0,0.8,415.1,0.55,292.0,99450.0
20060610:1400,25.11,90.15,0.0,-0.0,0.0,408.55,1.03,17.0,99540.0
20060610:1500,24.68,90.15,0.0,-0.0,0.0,404.45,0.83,36.0,99630.0
20060610:1600,24.33,93.1,0.0,-0.0,0.0,401.75,0.83,72.0,99650.0
20060610:1700,23.97,96.2,0.0,-0.0,0.0,402.55,0.97,73.0,99670.0
20060610:1800,23.5,96.2,0.0,-0.0,0.0,397.9,0.97,73.0,99650.0
20060610:1900,23.4,96.2,0.0,-0.0,0.0,403.3,0.76,80.0,99560.0
20060610:2000,23.22,93.05,0.0,-0.0,0.0,405.05,0.62,88.0,99480.0
20060610:2100,22.94,96.15,0.0,-0.0,0.0,404.3,0.48,64.0,99420.0
20060610:2200,22.86,96.15,0.0,-0.0,0.0,413.2,0.48,28.0,99410.0
20060610:2300,23.1,96.15,0.0,-0.0,0.0,419.0,0.62,48.0,99420.0
20060611:0000,23.0,96.15,0.0,-0.0,0.0,415.5,0.9,65.0,99420.0
20060611:0100,22.84,93.05,124.0,716.61,56.2,405.15,1.03,77.0,99470.0
20060611:0200,23.72,93.1,323.5,707.54,91.35,394.0,0.55,77.0,99510.0
20060611:0300,25.42,84.45,562.4,819.14,116.9,391.1,0.55,67.0,99560.0
20060611:0400,27.03,74.25,693.3,739.44,155.6,394.8,0.34,344.0,99580.0
20060611:0500,28.25,67.5,746.6,669.99,166.7,412.4,1.1,293.0,99590.0
20060611:0600,28.77,65.4,877.05,753.37,161.7,419.2,1.59,279.0,99550.0
20060611:0700,29.51,61.35,722.65,554.79,182.6,410.45,1.93,274.0,99500.0
20060611:0800,29.23,63.4,729.9,604.25,164.55,419.75,2.07,270.0,99450.0
20060611:0900,29.29,63.4,489.25,368.45,180.25,416.65,2.14,271.0,99380.0
20060611:1000,28.59,69.75,427.35,426.46,133.45,423.25,2.14,278.0,99350.0
20060611:1100,27.81,72.0,250.35,303.54,99.4,417.25,2.07,283.0,99340.0
20060611:1200,27.21,76.8,72.35,100.3,44.65,418.8,1.31,283.0,99400.0
20060611:1300,26.28,84.55,0.9,0.0,0.9,411.05,0.34,275.0,99460.0
20060611:1400,25.88,84.5,0.0,-0.0,0.0,406.6,0.07,264.0,99520.0
20060611:1500,25.2,90.2,0.0,-0.0,0.0,396.75,0.34,78.0,99580.0
20060611:1600,24.86,90.15,0.0,-0.0,0.0,403.3,0.76,89.0,99600.0
20060611:1700,24.26,93.1,0.0,-0.0,0.0,394.4,0.9,84.0,99600.0
20060611:1800,23.82,96.2,0.0,-0.0,0.0,400.2,0.97,60.0,99590.0
20060611:1900,23.42,96.2,0.0,-0.0,0.0,389.4,0.97,54.0,99510.0
20060611:2000,22.85,99.4,0.0,-0.0,0.0,395.4,0.83,66.0,99450.0
20060611:2100,22.73,99.4,0.0,-0.0,0.0,402.35,0.69,76.0,99390.0
20060611:2200,22.61,99.4,0.0,-0.0,0.0,399.25,0.76,77.0,99390.0
20060611:2300,23.09,96.15,0.0,-0.0,0.0,419.2,0.76,64.0,99410.0
20060612:0000,22.94,96.15,0.0,-0.0,0.0,415.3,0.69,50.0,99430.0
20060612:0100,22.94,96.15,78.75,400.53,41.1,414.25,0.69,54.0,99450.0
20060612:0200,23.84,93.1,220.6,256.71,136.55,414.35,0.34,48.0,99510.0
20060612:0300,24.91,87.25,410.25,484.12,147.3,414.35,0.34,38.0,99570.0
20060612:0400,26.42,81.85,634.8,633.73,174.4,417.05,0.34,338.0,99590.0
20060612:0500,27.47,74.3,630.85,472.97,221.75,411.05,0.76,293.0,99580.0
20060612:0600,28.13,72.0,708.55,487.04,246.3,419.2,1.03,278.0,99520.0
20060612:0700,29.22,63.4,783.8,629.98,170.7,431.2,1.59,281.0,99440.0
20060612:0800,29.64,63.4,650.75,539.01,146.45,419.55,1.79,279.0,99370.0
20060612:0900,29.56,63.4,577.3,506.75,152.2,421.9,1.93,278.0,99290.0
20060612:1000,29.13,65.4,444.25,497.03,101.5,416.1,2.07,279.0,99240.0
20060612:1100,28.55,69.75,243.1,318.09,84.7,427.3,2.0,279.0,99220.0
20060612:1200,27.61,79.35,86.0,181.57,35.7,416.65,1.45,278.0,99260.0
20060612:1300,26.46,81.85,0.9,1.2,0.85,415.3,1.1,287.0,99310.0
20060612:1400,25.97,87.3,0.0,-0.0,0.0,410.65,0.76,301.0,99380.0
