Latitude (decimal degrees):	9.948
Longitude (decimal degrees):	76.569
Elevation (m):	50
Radiation database:	PVGIS-ERA5


Slope: 45 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200708:0030,0.0,0.0,0.0,-2.69,22.85,0.9,0.0
20200708:0130,0.0,52.4,1.98,10.99,22.78,0.83,0.0
20200708:0230,11.32,113.03,6.01,24.81,23.85,0.48,0.0
20200708:0330,68.79,174.05,11.53,38.66,25.07,0.9,0.0
20200708:0430,101.47,245.78,14.91,52.33,26.57,1.72,0.0
20200708:0530,127.9,262.04,16.33,65.38,27.25,2.28,0.0
20200708:0630,126.87,297.38,17.2,75.72,28.05,2.41,0.0
20200708:0730,126.57,269.52,16.22,75.37,27.95,1.66,0.0
20200708:0830,66.32,223.75,11.47,64.77,28.29,2.21,0.0
20200708:0930,39.72,200.03,9.39,51.68,27.64,2.76,0.0
20200708:1030,8.01,164.24,6.29,37.99,26.6,2.21,0.0
20200708:1130,0.0,76.79,2.64,24.14,26.46,2.07,0.0
20200708:1230,0.0,28.82,1.09,10.32,26.07,1.93,0.0
20200708:1330,0.0,0.0,0.0,-3.35,25.66,1.86,0.0
20200708:1430,0.0,0.0,0.0,0.0,25.27,1.86,0.0
20200708:1530,0.0,0.0,0.0,0.0,24.9,1.66,0.0
20200708:1630,0.0,0.0,0.0,0.0,24.62,1.59,0.0
20200708:1730,0.0,0.0,0.0,0.0,24.29,1.52,0.0
20200708:1830,0.0,0.0,0.0,0.0,23.93,1.31,0.0
20200708:1930,0.0,0.0,0.0,0.0,24.19,1.24,0.0
20200708:2030,0.0,0.0,0.0,0.0,23.95,1.1,0.0
20200708:2130,0.0,0.0,0.0,0.0,23.67,1.17,0.0
20200708:2230,0.0,0.0,0.0,0.0,23.55,1.17,0.0
20200708:2330,0.0,0.0,0.0,0.0,23.61,1.31,0.0
20200709:0030,0.0,0.0,0.0,-2.75,23.23,1.31,0.0
20200709:0130,0.0,41.27,1.56,10.94,22.86,0.83,0.0
20200709:0230,19.06,94.93,6.76,24.78,23.95,0.55,0.0
20200709:0330,63.33,140.84,9.84,38.63,25.19,0.83,0.0
20200709:0430,65.74,208.07,11.28,52.33,25.74,1.24,0.0
20200709:0530,132.99,201.97,14.48,65.4,26.03,1.45,0.0
20200709:0630,5.88,206.79,7.42,75.8,26.53,1.52,0.0
20200709:0730,72.09,269.04,13.19,75.49,25.32,1.24,0.0
20200709:0830,114.46,234.71,14.59,64.86,26.37,1.31,0.0
20200709:0930,157.91,160.02,15.45,51.74,27.19,2.21,0.0
20200709:1030,30.06,108.32,6.1,38.03,27.61,2.21,0.0
20200709:1130,3.68,51.49,2.47,24.17,25.63,1.38,0.0
20200709:1230,0.0,17.88,0.68,10.34,24.61,0.97,0.0
20200709:1330,0.0,0.0,0.0,-3.34,24.18,0.62,0.0
20200709:1430,0.0,0.0,0.0,0.0,23.89,1.17,0.0
20200709:1530,0.0,0.0,0.0,0.0,23.55,1.1,0.0
20200709:1630,0.0,0.0,0.0,0.0,23.28,1.17,0.0
20200709:1730,0.0,0.0,0.0,0.0,22.92,1.17,0.0
20200709:1830,0.0,0.0,0.0,0.0,22.8,1.24,0.0
20200709:1930,0.0,0.0,0.0,0.0,22.82,0.9,0.0
20200709:2030,0.0,0.0,0.0,0.0,22.79,0.83,0.0
20200709:2130,0.0,0.0,0.0,0.0,22.73,0.62,0.0
20200709:2230,0.0,0.0,0.0,0.0,22.79,0.55,0.0
20200709:2330,0.0,0.0,0.0,0.0,22.79,0.48,0.0
20200710:0030,0.0,0.0,0.0,-2.81,22.55,0.69,0.0
20200710:0130,0.0,43.71,1.65,10.89,22.27,1.03,0.0
20200710:0230,7.46,107.46,5.05,24.74,23.22,0.41,0.0
20200710:0330,56.56,185.33,10.89,38.61,24.19,0.41,0.0
20200710:0430,116.5,212.43,14.62,52.32,25.66,1.1,0.0
20200710:0530,178.9,223.99,17.85,65.42,26.44,1.86,0.0
20200710:0630,44.15,244.51,10.8,75.89,27.29,2.21,0.0
20200710:0730,72.09,304.34,14.4,75.61,26.36,1.1,0.0
20200710:0830,167.33,232.64,17.52,64.94,27.6,1.38,0.0
20200710:0930,69.48,190.45,10.9,51.8,27.84,1.93,0.0
20200710:1030,63.45,121.67,9.2,38.08,27.57,2.0,0.0
20200710:1130,8.49,85.73,4.58,24.21,27.31,1.59,0.0
20200710:1230,0.0,32.97,1.24,10.36,26.43,1.1,0.0
20200710:1330,0.0,0.0,0.0,-3.33,25.73,0.55,0.0
20200710:1430,0.0,0.0,0.0,0.0,24.92,0.76,0.0
20200710:1530,0.0,0.0,0.0,0.0,24.49,1.1,0.0
20200710:1630,0.0,0.0,0.0,0.0,23.47,1.1,0.0
20200710:1730,0.0,0.0,0.0,0.0,23.26,0.9,0.0
20200710:1830,0.0,0.0,0.0,0.0,23.2,0.9,0.0
20200710:1930,0.0,0.0,0.0,0.0,23.49,0.41,0.0
20200710:2030,0.0,0.0,0.0,0.0,23.61,0.34,0.0
20200710:2130,0.0,0.0,0.0,0.0,23.57,0.21,0.0
20200710:2230,0.0,0.0,0.0,0.0,23.25,0.28,0.0
20200710:2330,0.0,0.0,0.0,0.0,23.01,0.48,0.0
20200711:0030,0.0,0.0,0.0,-2.87,22.99,0.62,0.0
20200711:0130,0.0,26.96,1.02,10.85,23.12,0.83,0.0
20200711:0230,15.48,96.34,6.06,24.71,23.43,0.62,0.0
20200711:0330,82.32,133.12,11.0,38.59,24.67,0.69,0.0
20200711:0430,164.92,183.76,16.61,52.32,25.71,0.76,0.0
20200711:0530,252.83,180.25,20.47,65.45,27.03,0.9,0.0
20200711:0630,160.58,197.5,15.47,75.98,28.22,1.31,0.0
20200711:0730,192.93,237.5,18.66,75.74,28.2,1.03,0.0
20200711:0830,98.32,181.95,11.78,65.03,28.78,1.38,0.0
20200711:0930,133.3,144.22,13.23,51.86,28.54,1.79,0.0
20200711:1030,80.39,97.3,9.6,38.12,28.24,1.93,0.0
20200711:1130,20.74,56.89,5.75,24.24,26.75,1.66,0.0
20200711:1230,0.0,26.41,1.0,10.38,25.66,1.38,0.0
20200711:1330,0.0,0.0,0.0,-3.33,25.17,1.24,0.0
20200711:1430,0.0,0.0,0.0,0.0,24.21,1.45,0.0
20200711:1530,0.0,0.0,0.0,0.0,23.49,1.03,0.0
20200711:1630,0.0,0.0,0.0,0.0,23.11,0.83,0.0
20200711:1730,0.0,0.0,0.0,0.0,23.18,0.9,0.0
20200711:1830,0.0,0.0,0.0,0.0,23.07,0.69,0.0
20200711:1930,0.0,0.0,0.0,0.0,23.48,0.14,0.0
20200711:2030,0.0,0.0,0.0,0.0,23.12,0.48,0.0
20200711:2130,0.0,0.0,0.0,0.0,23.07,0.41,0.0
20200711:2230,0.0,0.0,0.0,0.0,23.04,0.69,0.0
20200711:2330,0.0,0.0,0.0,0.0,23.01,0.69,0.0
20200712:0030,0.0,0.0,0.0,-2.93,23.14,0.83,0.0
20200712:0130,0.0,26.69,1.01,10.8,23.0,0.83,0.0
20200712:0230,15.39,66.41,4.88,24.67,23.46,0.62,0.0
20200712:0330,28.8,107.14,5.88,38.57,24.16,0.62,0.0
20200712:0430,75.0,166.87,10.35,52.32,25.14,0.97,0.0
20200712:0530,43.1,154.63,7.71,65.48,24.89,1.59,0.0
20200712:0630,163.74,189.68,15.33,76.08,24.23,2.21,0.0
20200712:0730,163.11,144.49,13.71,75.87,26.3,1.31,0.0
20200712:0830,105.25,168.64,11.68,65.11,27.23,1.66,0.0
20200712:0930,48.11,155.88,8.32,51.92,27.13,1.59,0.0
20200712:1030,59.77,126.99,9.03,38.16,26.83,1.24,0.0
20200712:1130,27.37,63.56,7.12,24.26,26.93,1.1,0.0
20200712:1230,0.0,30.57,1.15,10.39,26.68,1.17,0.0
20200712:1330,0.0,0.0,0.0,-3.33,25.91,1.66,0.0
20200712:1430,0.0,0.0,0.0,0.0,25.06,1.66,0.0
20200712:1530,0.0,0.0,0.0,0.0,24.78,1.24,0.0
20200712:1630,0.0,0.0,0.0,0.0,24.48,1.03,0.0
20200712:1730,0.0,0.0,0.0,0.0,24.21,1.31,0.0
20200712:1830,0.0,0.0,0.0,0.0,23.43,0.97,0.0
20200712:1930,0.0,0.0,0.0,0.0,24.17,0.34,0.0
20200712:2030,0.0,0.0,0.0,0.0,23.42,0.69,0.0
20200712:2130,0.0,0.0,0.0,0.0,23.1,0.83,0.0
20200712:2230,0.0,0.0,0.0,0.0,22.73,0.69,0.0
20200712:2330,0.0,0.0,0.0,0.0,23.71,0.14,0.0
20200713:0030,0.0,0.0,0.0,-2.98,22.3,0.62,0.0
20200713:0130,0.0,30.1,1.14,10.76,22.1,0.83,0.0
20200713:0230,6.36,82.42,3.9,24.64,23.31,0.83,0.0
20200713:0330,14.91,151.7,6.36,38.55,24.05,0.48,0.0
20200713:0430,105.03,173.99,12.43,52.32,25.17,1.1,0.0
20200713:0530,11.32,167.28,6.37,65.52,25.81,1.59,0.0
20200713:0630,40.81,246.0,10.64,76.19,25.44,1.52,0.0
20200713:0730,82.93,248.4,13.0,76.0,24.99,1.17,0.0
20200713:0830,93.87,181.49,11.47,65.2,25.7,1.45,0.0
20200713:0930,38.01,166.95,8.07,51.98,25.47,1.38,0.0
20200713:1030,15.65,142.71,6.12,38.2,24.85,1.38,0.0
20200713:1130,3.64,46.61,2.22,24.29,24.39,1.17,0.0
20200713:1230,0.0,27.23,1.03,10.41,24.1,0.83,0.0
20200713:1330,0.0,0.0,0.0,-3.33,23.93,0.69,0.0
20200713:1430,0.0,0.0,0.0,0.0,23.6,0.69,0.0
20200713:1530,0.0,0.0,0.0,0.0,23.14,0.97,0.0
20200713:1630,0.0,0.0,0.0,0.0,23.05,1.17,0.0
20200713:1730,0.0,0.0,0.0,0.0,22.92,1.45,0.0
20200713:1830,0.0,0.0,0.0,0.0,22.91,1.52,0.0
20200713:1930,0.0,0.0,0.0,0.0,23.32,1.45,0.0
20200713:2030,0.0,0.0,0.0,0.0,23.48,1.31,0.0
20200713:2130,0.0,0.0,0.0,0.0,22.84,1.1,0.0
20200713:2230,0.0,0.0,0.0,0.0,22.6,0.9,0.0
20200713:2330,0.0,0.0,0.0,0.0,22.3,0.83,0.0
20200714:0030,0.0,0.0,0.0,-3.04,22.14,1.24,0.0
20200714:0130,0.0,36.58,1.38,10.71,22.39,0.97,0.0
20200714:0230,10.73,90.0,4.88,24.61,23.41,0.48,0.0
20200714:0330,46.52,132.26,8.09,38.54,24.25,0.55,0.0
20200714:0430,150.34,177.93,15.34,52.32,25.38,0.83,0.0
20200714:0530,264.9,199.97,21.71,65.55,27.02,1.52,0.0
20200714:0630,302.73,237.31,24.54,76.3,28.55,2.14,0.0
20200714:0730,315.59,170.29,22.81,76.14,30.16,2.41,0.0
20200714:0830,203.47,225.28,19.15,65.28,30.47,2.83,0.0
20200714:0930,102.35,182.3,12.55,52.03,29.7,3.31,0.0
20200714:1030,40.29,130.15,7.56,38.24,28.31,2.9,0.0
20200714:1130,18.65,74.64,5.77,24.31,26.7,1.79,0.0
20200714:1230,0.0,31.15,1.18,10.42,26.26,1.17,0.0
20200714:1330,0.0,0.0,0.0,-3.33,25.7,0.97,0.0
20200714:1430,0.0,0.0,0.0,0.0,24.47,1.52,0.0
20200714:1530,0.0,0.0,0.0,0.0,23.69,1.31,0.0
20200714:1630,0.0,0.0,0.0,0.0,23.5,1.03,0.0
20200714:1730,0.0,0.0,0.0,0.0,23.33,1.24,0.0
20200714:1830,0.0,0.0,0.0,0.0,23.5,1.1,0.0
20200714:1930,0.0,0.0,0.0,0.0,23.65,0.97,0.0
20200714:2030,0.0,0.0,0.0,0.0,23.63,0.97,0.0
20200714:2130,0.0,0.0,0.0,0.0,23.31,0.9,0.0
20200714:2230,0.0,0.0,0.0,0.0,22.74,0.69,0.0
20200714:2330,0.0,0.0,0.0,0.0,23.3,0.34,0.0
20200715:0030,0.0,0.0,0.0,-3.1,23.46,0.21,0.0
20200715:0130,0.0,38.32,1.45,10.67,23.53,0.28,0.0
20200715:0230,2.25,108.08,4.09,24.58,23.72,0.41,0.0
20200715:0330,17.8,163.23,6.97,38.52,24.3,0.69,0.0
20200715:0430,22.04,209.38,8.54,52.33,25.66,1.45,0.0
20200715:0530,8.15,211.83,7.73,65.6,25.08,1.17,0.0
20200715:0630,128.89,278.69,16.48,76.41,25.68,0.97,0.0
20200715:0730,92.58,258.88,13.84,76.28,28.13,2.28,0.0
20200715:0830,92.23,270.93,14.45,65.37,26.02,2.28,0.0
20200715:0930,32.18,188.81,8.45,52.09,26.56,1.79,0.0
20200715:1030,17.17,175.71,7.36,38.28,26.14,1.03,0.0
20200715:1130,4.08,107.19,4.38,24.34,26.03,1.17,0.0
20200715:1230,0.0,35.84,1.35,10.42,25.27,1.1,0.0
20200715:1330,0.0,0.0,0.0,-3.34,24.56,1.31,0.0
20200715:1430,0.0,0.0,0.0,0.0,23.47,1.03,0.0
20200715:1530,0.0,0.0,0.0,0.0,23.65,1.1,0.0
20200715:1630,0.0,0.0,0.0,0.0,23.32,1.03,0.0
20200715:1730,0.0,0.0,0.0,0.0,23.27,0.41,0.0
20200715:1830,0.0,0.0,0.0,0.0,23.28,0.34,0.0
20200715:1930,0.0,0.0,0.0,0.0,23.32,0.28,0.0
20200715:2030,0.0,0.0,0.0,0.0,23.26,0.34,0.0
20200715:2130,0.0,0.0,0.0,0.0,23.19,0.48,0.0
20200715:2230,0.0,0.0,0.0,0.0,23.21,0.55,0.0
20200715:2330,0.0,0.0,0.0,0.0,23.1,0.69,0.0
20200716:0030,0.0,0.0,0.0,-3.15,23.32,0.69,0.0
20200716:0130,0.0,20.29,0.77,10.63,23.06,0.55,0.0
20200716:0230,1.78,55.61,2.18,24.55,23.61,0.69,0.0
20200716:0330,4.87,92.98,3.55,38.51,23.71,1.1,0.0
20200716:0430,49.84,164.61,8.66,52.34,24.42,1.1,0.0
20200716:0530,64.41,240.53,11.82,65.64,25.5,0.55,0.0
20200716:0630,45.57,204.11,9.42,76.54,26.42,1.24,0.0
20200716:0730,34.83,204.29,8.86,76.43,25.23,1.86,0.0
20200716:0830,10.62,133.95,5.18,65.46,25.52,2.34,0.0
20200716:0930,8.69,119.79,4.64,52.15,24.59,1.45,0.0
20200716:1030,3.95,92.15,3.46,38.31,24.56,1.03,0.0
20200716:1130,0.62,64.83,2.33,24.35,24.53,0.97,0.0
20200716:1230,0.0,27.66,1.04,10.43,24.15,0.41,0.0
20200716:1330,0.0,0.0,0.0,-3.35,23.71,0.21,0.0
20200716:1430,0.0,0.0,0.0,0.0,23.35,0.55,0.0
20200716:1530,0.0,0.0,0.0,0.0,23.36,0.62,0.0
20200716:1630,0.0,0.0,0.0,0.0,23.15,0.97,0.0
20200716:1730,0.0,0.0,0.0,0.0,23.02,1.03,0.0
20200716:1830,0.0,0.0,0.0,0.0,22.97,1.1,0.0
20200716:1930,0.0,0.0,0.0,0.0,22.92,0.9,0.0
20200716:2030,0.0,0.0,0.0,0.0,22.85,0.83,0.0
20200716:2130,0.0,0.0,0.0,0.0,22.77,0.48,0.0
20200716:2230,0.0,0.0,0.0,0.0,22.84,0.48,0.0
20200716:2330,0.0,0.0,0.0,0.0,22.86,0.55,0.0
20200717:0030,0.0,0.0,0.0,-3.21,22.98,0.76,0.0
20200717:0130,0.0,7.56,0.29,10.59,22.72,0.69,0.0
20200717:0230,0.69,30.99,1.17,24.53,22.87,0.62,0.0
20200717:0330,6.97,56.66,2.45,38.5,23.02,0.41,0.0
20200717:0430,13.48,115.09,4.75,52.35,23.91,0.21,0.0
20200717:0530,9.61,148.92,5.64,65.69,23.91,0.21,0.0
20200717:0630,1.16,145.63,5.06,76.66,24.14,0.21,0.0
20200717:0730,5.61,197.84,7.09,76.58,24.23,0.9,0.0
20200717:0830,8.13,189.79,6.96,65.55,24.82,0.97,0.0
20200717:0930,0.93,140.49,4.88,52.2,25.34,0.9,0.0
20200717:1030,1.81,113.98,4.05,38.35,25.22,0.55,0.0
20200717:1130,0.06,45.48,1.57,24.37,24.91,0.48,0.0
20200717:1230,0.0,19.7,0.74,10.43,24.1,1.03,0.0
20200717:1330,0.0,0.0,0.0,-3.36,23.57,1.17,0.0
20200717:1430,0.0,0.0,0.0,0.0,23.15,1.17,0.0
20200717:1530,0.0,0.0,0.0,0.0,22.84,1.24,0.0
20200717:1630,0.0,0.0,0.0,0.0,22.61,1.03,0.0
20200717:1730,0.0,0.0,0.0,0.0,22.46,0.97,0.0
20200717:1830,0.0,0.0,0.0,0.0,22.33,1.03,0.0
20200717:1930,0.0,0.0,0.0,0.0,22.66,0.62,0.0
20200717:2030,0.0,0.0,0.0,0.0,22.64,0.83,0.0
20200717:2130,0.0,0.0,0.0,0.0,22.55,0.83,0.0
20200717:2230,0.0,0.0,0.0,0.0,22.52,0.9,0.0
20200717:2330,0.0,0.0,0.0,0.0,22.67,0.9,0.0
20200718:0030,0.0,0.0,0.0,-3.26,23.49,0.83,0.0
20200718:0130,0.0,26.49,1.0,10.55,23.42,0.97,0.0
20200718:0230,5.63,56.99,2.79,24.5,23.76,0.83,0.0
20200718:0330,12.42,137.25,5.63,38.49,24.38,0.62,0.0
20200718:0430,25.78,193.76,8.2,52.37,25.48,0.48,0.0
20200718:0530,46.25,252.36,11.2,65.74,26.48,0.76,0.0
20200718:0630,131.97,268.44,16.2,76.79,27.35,1.17,0.0
20200718:0730,134.5,267.41,16.3,76.73,28.57,1.66,0.0
20200718:0830,72.37,260.42,12.92,65.63,28.97,1.59,0.0
20200718:0930,23.81,222.23,9.07,52.25,28.34,1.72,0.0
20200718:1030,14.8,169.46,6.93,38.38,26.69,1.66,0.0
20200718:1130,2.89,67.34,2.75,24.39,25.26,0.55,0.0
20200718:1230,0.0,23.66,0.89,10.43,24.87,0.07,0.0
20200718:1330,0.0,0.0,0.0,-3.38,24.79,0.55,0.0
20200718:1430,0.0,0.0,0.0,0.0,24.82,0.97,0.0
20200718:1530,0.0,0.0,0.0,0.0,24.49,1.17,0.0
20200718:1630,0.0,0.0,0.0,0.0,24.2,1.45,0.0
20200718:1730,0.0,0.0,0.0,0.0,24.0,1.38,0.0
20200718:1830,0.0,0.0,0.0,0.0,23.88,1.1,0.0
20200718:1930,0.0,0.0,0.0,0.0,23.75,0.83,0.0
20200718:2030,0.0,0.0,0.0,0.0,23.77,0.9,0.0
20200718:2130,0.0,0.0,0.0,0.0,23.84,1.1,0.0
20200718:2230,0.0,0.0,0.0,0.0,23.43,1.17,0.0
20200718:2330,0.0,0.0,0.0,0.0,22.77,1.1,0.0
20200719:0030,0.0,0.0,0.0,-3.32,23.67,1.1,0.0
20200719:0130,0.0,20.83,0.79,10.51,22.92,0.97,0.0
20200719:0230,12.52,74.34,4.41,24.48,23.72,0.62,0.0
20200719:0330,30.57,162.16,7.83,38.49,24.43,0.21,0.0
20200719:0430,79.26,181.07,10.93,52.38,25.33,0.28,0.0
20200719:0530,68.34,275.0,13.18,65.8,26.4,1.1,0.0
20200719:0630,155.16,265.19,17.28,76.93,27.44,2.34,0.0
20200719:0730,165.6,261.94,17.72,76.88,28.31,2.07,0.0
20200719:0830,176.25,191.21,16.15,65.72,28.67,1.93,0.0
20200719:0930,117.88,158.9,12.46,52.3,28.83,1.79,0.0
20200719:1030,42.34,156.11,8.49,38.41,28.65,1.72,0.0
20200719:1130,11.1,73.58,4.19,24.4,27.9,2.07,0.0
20200719:1230,0.0,35.41,1.34,10.43,26.89,1.79,0.0
20200719:1330,0.0,0.0,0.0,-3.4,26.22,1.31,0.0
20200719:1430,0.0,0.0,0.0,0.0,25.57,1.17,0.0
20200719:1530,0.0,0.0,0.0,0.0,25.15,1.1,0.0
20200719:1630,0.0,0.0,0.0,0.0,24.84,1.03,0.0
20200719:1730,0.0,0.0,0.0,0.0,24.62,0.97,0.0
20200719:1830,0.0,0.0,0.0,0.0,24.4,0.9,0.0
20200719:1930,0.0,0.0,0.0,0.0,24.78,0.21,0.0
20200719:2030,0.0,0.0,0.0,0.0,24.32,0.21,0.0
20200719:2130,0.0,0.0,0.0,0.0,24.04,0.21,0.0
20200719:2230,0.0,0.0,0.0,0.0,23.89,0.28,0.0
20200719:2330,0.0,0.0,0.0,0.0,23.35,0.69,0.0
20200720:0030,0.0,0.0,0.0,-3.37,23.42,1.03,0.0
20200720:0130,0.0,41.62,1.57,10.47,23.23,0.83,0.0
20200720:0230,44.74,65.45,8.79,24.46,24.18,0.55,0.0
20200720:0330,153.22,86.28,14.0,38.48,25.72,1.03,0.0
20200720:0430,148.96,111.79,12.56,52.4,26.71,1.24,0.0
20200720:0530,166.95,149.21,14.11,65.85,27.22,1.38,0.0
20200720:0630,165.76,238.03,16.84,77.07,27.7,1.59,0.0
20200720:0730,217.99,196.1,18.12,77.04,27.48,1.52,0.0
20200720:0830,129.5,204.0,14.01,65.81,28.1,0.83,0.0
20200720:0930,118.81,157.33,12.41,52.36,27.79,1.38,0.0
20200720:1030,42.08,156.61,8.46,38.44,27.4,1.72,0.0
20200720:1130,9.96,73.92,3.99,24.41,25.43,1.93,0.0
20200720:1230,0.0,28.66,1.08,10.42,25.24,1.24,0.0
20200720:1330,0.0,0.0,0.0,-3.42,24.87,1.03,0.0
20200720:1430,0.0,0.0,0.0,0.0,24.3,0.83,0.0
20200720:1530,0.0,0.0,0.0,0.0,23.95,0.9,0.0
20200720:1630,0.0,0.0,0.0,0.0,23.68,0.76,0.0
20200720:1730,0.0,0.0,0.0,0.0,23.75,0.55,0.0
20200720:1830,0.0,0.0,0.0,0.0,23.75,0.97,0.0
20200720:1930,0.0,0.0,0.0,0.0,23.55,1.24,0.0
20200720:2030,0.0,0.0,0.0,0.0,23.47,1.24,0.0
20200720:2130,0.0,0.0,0.0,0.0,23.54,1.24,0.0
20200720:2230,0.0,0.0,0.0,0.0,23.61,1.17,0.0
20200720:2330,0.0,0.0,0.0,0.0,23.66,1.17,0.0
20200721:0030,0.0,0.0,0.0,-3.42,23.69,1.31,0.0
20200721:0130,0.0,43.83,1.65,10.43,23.52,1.31,0.0
20200721:0230,43.47,60.5,8.24,24.44,24.12,0.83,0.0
20200721:0330,174.45,91.11,15.66,38.48,25.51,0.9,0.0
20200721:0430,304.33,95.71,21.11,52.42,27.05,1.1,0.0
20200721:0530,354.8,126.53,23.46,65.91,28.74,0.97,0.0
20200721:0630,355.83,149.82,23.67,77.22,29.73,1.38,0.0
20200721:0730,365.37,132.38,23.54,77.21,30.11,1.24,0.0
20200721:0830,246.09,159.24,18.71,65.89,30.18,1.66,0.0
20200721:0930,126.17,154.18,12.69,52.4,29.58,2.14,0.0
20200721:1030,60.6,136.41,9.05,38.46,28.52,2.28,0.0
20200721:1130,2.82,86.39,3.37,24.42,27.71,1.93,0.0
20200721:1230,0.0,23.7,0.89,10.41,26.82,1.31,0.0
20200721:1330,0.0,0.0,0.0,-3.45,25.73,0.34,0.0
20200721:1430,0.0,0.0,0.0,0.0,25.47,0.21,0.0
20200721:1530,0.0,0.0,0.0,0.0,25.35,0.62,0.0
20200721:1630,0.0,0.0,0.0,0.0,25.05,0.83,0.0
20200721:1730,0.0,0.0,0.0,0.0,24.64,0.69,0.0
20200721:1830,0.0,0.0,0.0,0.0,24.43,0.9,0.0
20200721:1930,0.0,0.0,0.0,0.0,25.29,0.21,0.0
20200721:2030,0.0,0.0,0.0,0.0,24.64,0.48,0.0
20200721:2130,0.0,0.0,0.0,0.0,24.26,0.55,0.0
20200721:2230,0.0,0.0,0.0,0.0,24.11,0.83,0.0
20200721:2330,0.0,0.0,0.0,0.0,24.02,0.9,0.0
20200722:0030,0.0,0.0,0.0,-3.48,23.97,0.97,0.0
20200722:0130,0.0,25.48,0.96,10.4,23.84,0.97,0.0
20200722:0230,34.89,75.12,7.47,24.42,24.25,0.48,0.0
20200722:0330,105.43,121.49,11.69,38.48,25.93,1.1,0.0
20200722:0430,169.3,173.02,15.86,52.45,27.02,2.0,0.0
20200722:0530,182.33,199.87,16.64,65.98,27.08,2.0,0.0
20200722:0630,239.74,170.02,18.22,77.37,26.99,1.24,0.0
20200722:0730,215.56,184.16,17.46,77.37,28.16,1.38,0.0
20200722:0830,165.17,224.63,16.58,65.98,28.09,1.38,0.0
20200722:0930,117.13,162.35,12.4,52.45,28.08,0.9,0.0
20200722:1030,91.33,118.76,10.58,38.49,27.78,0.83,0.0
20200722:1130,14.86,79.9,4.81,24.42,26.88,0.97,0.0
20200722:1230,0.0,26.8,1.01,10.4,26.03,0.76,0.0
20200722:1330,0.0,0.0,0.0,-3.47,25.49,0.55,0.0
20200722:1430,0.0,0.0,0.0,0.0,25.28,0.62,0.0
20200722:1530,0.0,0.0,0.0,0.0,24.89,0.55,0.0
20200722:1630,0.0,0.0,0.0,0.0,24.73,0.97,0.0
20200722:1730,0.0,0.0,0.0,0.0,24.28,0.9,0.0
20200722:1830,0.0,0.0,0.0,0.0,24.0,0.97,0.0
20200722:1930,0.0,0.0,0.0,0.0,24.07,0.69,0.0
20200722:2030,0.0,0.0,0.0,0.0,23.93,0.55,0.0
20200722:2130,0.0,0.0,0.0,0.0,23.72,0.62,0.0
20200722:2230,0.0,0.0,0.0,0.0,23.36,0.69,0.0
20200722:2330,0.0,0.0,0.0,0.0,23.3,0.9,0.0
20200723:0030,0.0,0.0,0.0,-3.53,23.05,1.1,0.0
20200723:0130,0.0,46.7,1.76,10.37,22.89,0.9,0.0
20200723:0230,27.49,104.0,7.43,24.4,23.97,0.76,0.0
20200723:0330,81.68,174.74,11.87,38.49,25.19,1.45,0.0
20200723:0430,173.88,171.72,16.01,52.47,26.3,1.17,0.0
20200723:0530,202.33,182.36,17.04,66.04,27.45,0.76,0.0
20200723:0630,201.8,252.76,19.1,77.52,28.38,0.76,0.0
20200723:0730,223.52,254.03,20.28,77.54,28.96,1.93,0.0
20200723:0830,15.91,226.8,8.64,66.06,28.73,1.66,0.0
20200723:0930,16.54,244.09,9.35,52.49,26.58,1.31,0.0
20200723:1030,14.02,115.42,4.95,38.51,26.01,1.52,0.0
20200723:1130,3.91,75.65,3.13,24.43,25.45,1.45,0.0
20200723:1230,0.0,30.91,1.17,10.39,25.01,1.31,0.0
20200723:1330,0.0,0.0,0.0,-3.51,23.83,0.83,0.0
20200723:1430,0.0,0.0,0.0,0.0,23.87,1.1,0.0
20200723:1530,0.0,0.0,0.0,0.0,23.49,1.24,0.0
20200723:1630,0.0,0.0,0.0,0.0,23.26,1.24,0.0
20200723:1730,0.0,0.0,0.0,0.0,23.18,1.1,0.0
20200723:1830,0.0,0.0,0.0,0.0,23.2,1.03,0.0
20200723:1930,0.0,0.0,0.0,0.0,24.02,1.03,0.0
20200723:2030,0.0,0.0,0.0,0.0,22.73,0.97,0.0
20200723:2130,0.0,0.0,0.0,0.0,22.79,0.9,0.0
20200723:2230,0.0,0.0,0.0,0.0,22.87,0.83,0.0
20200723:2330,0.0,0.0,0.0,0.0,22.95,0.9,0.0
20200724:0030,0.0,0.0,0.0,-3.58,23.28,1.03,0.0
20200724:0130,0.0,37.35,1.41,10.33,22.91,1.24,0.0
20200724:0230,17.95,95.44,5.7,24.39,23.46,1.03,0.0
20200724:0330,102.52,134.69,11.83,38.49,24.38,1.24,0.0
20200724:0430,130.97,183.41,13.86,52.5,25.56,1.72,0.0
20200724:0530,122.62,257.9,15.37,66.11,26.54,1.59,0.0
20200724:0630,198.3,160.28,15.62,77.69,27.43,1.72,0.0
20200724:0730,110.95,225.57,13.42,77.71,27.7,2.14,0.0
20200724:0830,98.41,184.64,11.53,66.14,27.64,2.41,0.0
20200724:0930,42.67,147.75,7.52,52.54,26.08,2.21,0.0
20200724:1030,41.53,124.13,7.15,38.52,25.21,2.21,0.0
